,size,times
847,92,19581.0
848,320,559.0
850,99,8618.0
851,102,19951.0
852,95,19689.0
855,94,6970.0
856,101,19715.0
857,93,19691.0
859,98,8066.0
860,98,20302.0
861,97,20142.0
863,66,696.0
866,92,10521.0
867,346,10099.0
868,505,5617.0
869,94,19626.0
870,101,20372.0
872,105,18965.0
873,94,19805.0
874,91,20314.0
876,66,611.0
880,95,331.0
881,93,19971.0
882,98,20478.0
883,97,19220.0
885,66,538.0
888,95,5886.0
889,425,14548.0
890,647,2979.0
891,98,19844.0
893,98,4715.0
894,95,22568.0
895,97,17668.0
898,357,3979.0
899,95,335.0
900,95,19905.0
901,95,22624.0
902,93,19669.0
904,66,671.0
907,93,6262.0
908,96,17126.0
909,451,14673.0
910,101,5470.0
912,98,6917.0
913,100,19944.0
914,97,21953.0
916,95,8394.0
917,99,19636.0
918,100,20557.0
919,103,20121.0
922,81,2114.0
923,102,7513.0
924,95,19192.0
925,96,20277.0
928,625,575.0
929,93,7030.0
930,99,20163.0
931,100,20141.0
932,92,19805.0
935,98,16176.0
936,93,19846.0
937,96,20866.0
940,100,13309.0
941,94,17844.0
942,430,7803.0
943,494,11668.0
945,102,3976.0
946,100,22501.0
947,97,19868.0
950,101,5026.0
951,94,16687.0
952,500,19996.0
953,561,467.0
954,96,19516.0
957,100,8684.0
958,100,19930.0
959,98,22573.0
961,99,7825.0
962,101,20830.0
963,436,6916.0
964,100,12099.0
965,99,20089.0
968,95,10560.0
969,100,20394.0
970,116,707.0
971,104,18904.0
973,66,302.0
975,104,5006.0
976,535,7497.0
977,100,12255.0
978,96,20322.0
981,100,5765.0
982,96,20260.0
983,100,17231.0
984,553,10135.0
987,100,3885.0
988,94,20389.0
989,101,22576.0
991,66,758.0
994,102,9116.0
995,97,19304.0
996,100,19942.0
997,500,12491.0
999,99,399.0
1001,104,20173.0
1002,98,19894.0
1003,96,19994.0
1006,97,7980.0
1007,100,19780.0
1008,336,7330.0
1009,590,9681.0
1011,94,6056.0
1012,98,20095.0
1013,99,22771.0
1016,81,2827.0
1017,104,5414.0
1018,520,15919.0
1019,102,1138.0
1020,100,20097.0
1021,95,20128.0
1024,99,8473.0
1025,107,22744.0
1026,100,19985.0
1027,803,8004.0
1030,863,3103.0
1031,112,19947.0
1032,107,20528.0
1033,107,19827.0
1035,109,5994.0
1036,500,6157.0
1037,110,14099.0
1038,110,20079.0
1039,114,20312.0
1044,66,723.0
1045,70,432.0
1046,109,2125.0
1047,428,10782.0
1048,622,10527.0
1049,111,18746.0
1050,350,311.0
1052,105,8829.0
1053,415,14546.0
1054,100,5492.0
1055,104,22565.0
1058,114,11550.0
1059,100,16581.0
1060,106,20154.0
1061,914,1485.0
1064,105,7145.0
1065,102,22390.0
1066,103,20123.0
1067,110,8450.0
1070,100,9032.0
1071,112,18639.0
1072,66,8341.0
1073,101,12275.0
1076,932,1484.0
1077,102,6308.0
1078,100,19828.0
1080,66,533.0
1081,102,1494.0
1083,96,5139.0
1084,101,20025.0
1085,102,20085.0
1086,100,19678.0
1088,66,620.0
1091,99,14361.0
1092,103,18417.0
1093,105,18985.0
1094,688,6029.0
1097,754,3945.0
1098,103,22562.0
1099,102,17717.0
1102,102,6882.0
1103,105,20288.0
1104,113,19227.0
1105,101,20644.0
1107,106,20202.0
1108,115,18248.0
1109,103,19120.0
1112,100,6580.0
1113,80,613.0
1114,993,13506.0
1115,103,5857.0
1116,102,20799.0
1119,82,1002.0
1120,102,6164.0
1121,101,19035.0
