cnt,times
1,9553.0
18,2547.0
7,294.0
9,9188.0
2,304.0
1,159.0
19,6923.0
2,4702.0
1,129.0
2,6623.0
2,10189.0
1,143.0
10,5250.0
3,16475.0
1,412.0
2,4647.0
3,8005.0
1,137.0
2,5907.0
2,1653.0
1,151.0
3,9773.0
2,7774.0
2,7820.0
1,8090.0
3,3265.0
2,7798.0
2,336.0
2,10246.0
3,149.0
2,1357.0
2,192.0
2,14093.0
2,12672.0
1,8454.0
2,3468.0
3,4369.0
2,5988.0
1,324.0
3,9969.0
2,8175.0
2,10123.0
2,10695.0
2,12579.0
3,5411.0
3,738.0
3,1594.0
2,6244.0
2,10974.0
2,549.0
2,933.0
1,311.0
3,7076.0
3,7375.0
1,247.0
2,276.0
1,20176.0
2,4789.0
1,154.0
4,7080.0
2,9376.0
1,389.0
1,19962.0
2,339.0
3,4971.0
2,1115.0
1,4794.0
4,10610.0
3,6942.0
2,20321.0
2,2063.0
1,8762.0
1,134.0
1,3326.0
2,7355.0
1,121.0
3,4578.0
2,8341.0
4,4460.0
2,1154.0
2,2821.0
1,227.0
2,1567.0
3,7063.0
2,1345.0
1,84.0
2,7552.0
2,5264.0
3,1711.0
2,3942.0
1,8540.0
3,7520.0
3,6137.0
2,6837.0
2,7367.0
2,19709.0
3,6531.0
2,7622.0
2,16179.0
1,162.0
1,5844.0
3,17842.0
3,4930.0
2,18474.0
1,119.0
2,882.0
1,643.0
3,2271.0
2,5900.0
1,18643.0
2,8560.0
2,10385.0
3,17164.0
1,127.0
3,4563.0
2,17228.0
3,4387.0
2,5672.0
2,6908.0
2,4572.0
1,480.0
2,8503.0
3,342.0
1,269.0
2,5960.0
2,4509.0
1,171.0
3,12793.0
9,14067.0
1,494.0
7,16962.0
2,14.0
4,15387.0
1,18752.0
4,9845.0
2,8147.0
2,7640.0
2,6295.0
3,4095.0
1,210.0
2,13.0
2,8282.0
1,5822.0
5,4685.0
2,15911.0
2,3163.0
1,231.0
1,802.0
2,13083.0
3,5740.0
4,10641.0
3,16146.0
2,3701.0
3,16468.0
3,7203.0
4,5358.0
2,7499.0
3,6263.0
1,148.0
3,7819.0
2,986.0
1,179.0
4,1855.0
1,17468.0
1,102.0
1,22036.0
1,126.0
2,13668.0
3,8033.0
3,1529.0
3,6542.0
4,8742.0
3,8983.0
12,9295.0
2,1049.0
1,14115.0
4,2704.0
1,170.0
2,2941.0
1,246.0
3,8607.0
3,157.0
13,13431.0
4,13002.0
3,1667.0
2,5277.0
3,1042.0
2,9350.0
1,322.0
2,9828.0
2,1822.0
3,7203.0
3,3451.0
5,1156.0
3,2297.0
1,171.0
4,5144.0
1,226.0
3,4260.0
3,7995.0
3,4550.0
2,713.0
3,9514.0
2,3865.0
3,6408.0
4,9784.0
3,2825.0
3,7942.0
3,478.0
1,182.0
11,13697.0
1,1323.0
7,188.0
1,18707.0
1,126.0
4,7621.0
3,6681.0
3,4107.0
3,4710.0
4,896.0
1,1130.0
2,4958.0
3,1306.0
2,4570.0
3,12962.0
2,10228.0
1,176.0
3,3607.0
3,2681.0
4,773.0
1,251.0
1,8260.0
2,8814.0
1,182.0
3,4614.0
3,7731.0
3,4973.0
2,7169.0
3,7839.0
1,130.0
3,1415.0
3,4795.0
3,2111.0
3,6685.0
3,5903.0
2,8847.0
4,7064.0
3,9532.0
2,8293.0
3,7090.0
4,9056.0
1,157.0
3,6545.0
3,6183.0
3,4632.0
1,146.0
3,5499.0
3,5620.0
2,1179.0
4,7847.0
3,2067.0
3,6251.0
3,3138.0
2,6408.0
1,400.0
4,2793.0
3,5255.0
3,5551.0
4,9885.0
2,114.0
3,9495.0
3,4047.0
1,364.0
2,5819.0
2,4120.0
2,18621.0
3,4252.0
4,8821.0
3,9582.0
3,65.0
2,3830.0
4,4040.0
1,109.0
3,8074.0
3,6807.0
3,7841.0
3,5250.0
2,8255.0
3,8014.0
3,6131.0
3,6737.0
1,129.0
5,6510.0
2,6014.0
1,407.0
3,4955.0
1,5847.0
4,4592.0
1,519.0
3,314.0
3,8505.0
1,100.0
12,16615.0
6,18597.0
3,8646.0
3,6312.0
4,5278.0
3,4699.0
3,1569.0
3,4383.0
1,723.0
1,150.0
5,1031.0
3,1180.0
6,16412.0
9,2321.0
1,381.0
18,2778.0
7,405.0
3,3326.0
3,2449.0
2,848.0
1,173.0
3,11849.0
3,5991.0
3,16951.0
3,5839.0
1,268.0
3,6756.0
3,6759.0
2,8803.0
3,9109.0
3,7460.0
3,5529.0
4,17248.0
1,115.0
3,7587.0
3,65.0
2,7818.0
3,5440.0
6,3502.0
1,225.0
13,765.0
4,879.0
4,3334.0
3,4282.0
3,4932.0
2,8076.0
3,5786.0
3,8656.0
3,7326.0
3,5445.0
2,2699.0
1,232.0
4,2541.0
2,8551.0
1,282.0
3,10590.0
3,5799.0
3,7372.0
3,7263.0
3,5495.0
2,7973.0
3,6796.0
3,6134.0
5,7255.0
2,7439.0
3,10050.0
3,7726.0
2,8394.0
1,130.0
4,1221.0
1,5975.0
4,4322.0
1,16203.0
3,14086.0
3,7672.0
8,18661.0
1,289.0
1,275.0
8,18965.0
6,2633.0
2,3743.0
3,3188.0
2,616.0
1,2235.0
1,363.0
3,7914.0
3,5715.0
1,392.0
3,5491.0
4,7421.0
3,4645.0
3,4592.0
3,7998.0
2,9654.0
3,7672.0
3,10082.0
2,10105.0
3,5513.0
3,6912.0
3,7251.0
1,137.0
13,454.0
5,1493.0
2,8085.0
3,4313.0
2,6702.0
4,5955.0
3,8516.0
4,5596.0
3,6929.0
3,8166.0
2,5924.0
3,9209.0
2,178.0
1,4170.0
1,162.0
3,4412.0
3,5946.0
1,125.0
2,2088.0
2,19348.0
3,4545.0
1,454.0
4,6603.0
3,2530.0
2,7872.0
3,4560.0
1,180.0
3,7470.0
1,10637.0
1,132.0
3,10033.0
3,7813.0
4,7290.0
2,3894.0
1,16189.0
5,844.0
4,7426.0
2,6390.0
3,5095.0
1,365.0
3,7375.0
1,393.0
2,10619.0
3,4238.0
2,6518.0
3,3706.0
4,6321.0
3,4013.0
4,4854.0
2,10338.0
1,389.0
3,6352.0
3,5929.0
3,8545.0
1,181.0
4,650.0
12,16370.0
1,210.0
6,17429.0
2,16296.0
1,115.0
4,5827.0
4,731.0
2,4088.0
3,4249.0
3,4403.0
1,394.0
3,8624.0
3,6116.0
1,269.0
3,1875.0
3,7991.0
2,10932.0
3,3879.0
4,9177.0
3,8273.0
2,6153.0
1,140.0
3,4351.0
1,385.0
4,3353.0
2,6184.0
1,166.0
2,4197.0
3,7804.0
3,8198.0
2,8732.0
1,16286.0
3,8985.0
3,1818.0
4,3306.0
2,5915.0
1,136.0
3,6139.0
3,7158.0
2,7780.0
3,7488.0
3,16692.0
2,552.0
5,2516.0
1,144.0
3,3566.0
3,8607.0
3,6348.0
3,5889.0
4,10269.0
3,80.0
1,89.0
4,810.0
3,7365.0
2,10314.0
4,16317.0
1,199.0
2,5537.0
3,6386.0
3,7769.0
3,9984.0
3,2737.0
3,4287.0
2,11325.0
5,8853.0
2,8898.0
3,2282.0
3,2896.0
1,224.0
4,5761.0
3,845.0
3,9912.0
2,4875.0
3,5803.0
1,1024.0
2,9377.0
1,118.0
4,6784.0
2,1549.0
3,9380.0
3,5807.0
1,200.0
3,4370.0
2,10747.0
3,6239.0
2,4438.0
1,17506.0
4,7108.0
4,5820.0
1,843.0
1,244.0
13,1567.0
1,410.0
6,15197.0
1,127.0
3,6375.0
3,6429.0
2,9778.0
3,6743.0
3,6035.0
3,7825.0
2,9441.0
3,5412.0
3,7048.0
1,173.0
3,7740.0
3,218.0
3,972.0
3,3647.0
3,13922.0
3,6569.0
2,10184.0
3,4495.0
4,4813.0
1,284.0
4,7242.0
3,914.0
2,5226.0
3,2740.0
2,7417.0
3,6641.0
1,229.0
3,4440.0
5,10686.0
2,2190.0
2,6002.0
3,14688.0
1,236.0
3,6952.0
2,16443.0
4,3393.0
3,9007.0
1,125.0
3,14937.0
4,6200.0
3,5652.0
3,5870.0
3,8319.0
1,19718.0
1,130.0
11,128.0
3,2661.0
5,15822.0
3,5427.0
1,208.0
3,4615.0
3,4286.0
1,109.0
15,14748.0
1,145.0
1,952.0
22,4127.0
8,208.0
2,11034.0
1,178.0
3,798.0
5,6110.0
1,299.0
3,8980.0
2,10098.0
2,71.0
1,3195.0
1,184.0
3,5107.0
4,7639.0
12,3825.0
1,356.0
6,6478.0
3,9146.0
3,11133.0
1,145.0
2,7818.0
3,3223.0
1,210.0
2,15759.0
4,1192.0
15,658.0
5,252.0
9,192.0
3,1172.0
10,346.0
3,10723.0
9,97.0
10,17291.0
13,2800.0
1,118.0
5,16296.0
3,223.0
3,6528.0
1,163.0
2,19220.0
4,3875.0
1,262.0
2,8621.0
4,9152.0
1,153.0
2,6379.0
10,757.0
1,325.0
1,281.0
1,8903.0
16,67.0
11,2234.0
15,257.0
16,6494.0
5,15473.0
1,200.0
2,24.0
9,8.0
19,17.0
2,192.0
3,137.0
9,2628.0
4,274.0
11,79.0
5,15824.0
2,10394.0
2,10014.0
1,161.0
2,952.0
2,8707.0
3,12029.0
2,6226.0
1,8792.0
2,9979.0
18,269.0
1,99.0
2,1461.0
3,96.0
6,1959.0
1,358.0
7,1753.0
3,90.0
5,769.0
5,102.0
3,8499.0
7,833.0
1,799.0
12,632.0
2,219.0
12,771.0
4,1287.0
8,103.0
16,3196.0
3,101.0
2,9695.0
12,3418.0
2,9902.0
2,7623.0
1,142.0
2,9615.0
2,7555.0
1,127.0
2,4782.0
2,7839.0
2,7669.0
2,6349.0
8,17414.0
1,283.0
2,858.0
2,19543.0
1,7618.0
2,1356.0
4,6677.0
1,3951.0
1,3964.0
4,14124.0
2,10763.0
1,621.0
2,5915.0
2,3829.0
2,8957.0
2,5195.0
2,3416.0
