cnt,times
1,1674.0
4,13506.0
3,11979.0
5,9669.0
1,2629.0
20,5679.0
2,19687.0
2,2267.0
3,1967.0
4,8810.0
1,3249.0
3,18083.0
5,13333.0
4,15758.0
4,8948.0
4,7767.0
1,1849.0
4,12873.0
3,11841.0
1,2971.0
6,11453.0
3,8611.0
4,14505.0
4,10324.0
3,8475.0
4,13949.0
3,12881.0
1,3346.0
4,8678.0
1,2025.0
5,14150.0
1,15937.0
5,11370.0
4,12041.0
5,7612.0
3,10473.0
2,3532.0
1,11099.0
3,15461.0
4,11931.0
4,14040.0
4,11376.0
1,2432.0
3,12386.0
4,11641.0
3,10820.0
4,861.0
3,19228.0
4,15627.0
5,14556.0
1,726.0
3,12245.0
5,9871.0
3,16127.0
4,9860.0
4,18911.0
4,9300.0
1,2865.0
4,11833.0
4,11909.0
4,3344.0
3,11280.0
1,2618.0
4,13327.0
3,13360.0
3,11303.0
3,12920.0
5,14924.0
5,7923.0
3,10392.0
3,10169.0
3,16242.0
4,16918.0
4,12107.0
1,1611.0
5,6664.0
4,10315.0
3,13538.0
4,14147.0
3,17699.0
1,454.0
4,11146.0
1,582.0
3,15525.0
4,10062.0
3,13129.0
1,3579.0
5,15538.0
4,8944.0
3,9319.0
4,15259.0
2,3678.0
2,5948.0
4,11397.0
15,18674.0
5,8338.0
4,2732.0
3,20259.0
3,2749.0
4,10736.0
1,2529.0
3,11884.0
4,12839.0
3,12074.0
4,12648.0
4,12629.0
3,11924.0
4,12114.0
3,12706.0
4,10544.0
1,897.0
3,10349.0
5,12268.0
4,15157.0
5,6854.0
3,12088.0
4,10558.0
4,3698.0
4,12944.0
5,12139.0
1,2165.0
4,12857.0
3,14602.0
4,11692.0
4,10791.0
4,12040.0
3,9527.0
1,2309.0
5,4879.0
3,9433.0
5,13826.0
5,901.0
3,7935.0
1,2686.0
5,5393.0
3,16196.0
5,13210.0
5,4824.0
2,353.0
3,5091.0
4,13945.0
3,10910.0
5,13935.0
1,737.0
18,1996.0
1,2332.0
1,6.0
4,575.0
3,11802.0
4,13459.0
1,1198.0
4,15046.0
21,1923.0
1,2479.0
35,138.0
1,324.0
1,26.0
4,7393.0
5,9030.0
1,4668.0
4,18963.0
4,9207.0
5,7345.0
1,2889.0
3,10661.0
3,12718.0
1,753.0
4,12392.0
1,2503.0
4,13688.0
20,5113.0
4,7882.0
1,4937.0
3,10112.0
4,8156.0
3,8960.0
1,2431.0
3,14085.0
2,2069.0
5,3362.0
4,4360.0
29,507.0
21,10971.0
1,97.0
1,41.0
18,10698.0
1,115.0
18,620.0
1,36.0
20,2673.0
6,471.0
1,2812.0
5,6914.0
5,12648.0
4,19795.0
1,544.0
4,15741.0
3,11200.0
1,2041.0
5,12752.0
3,11497.0
